2023-02-10 11:28:28,385 0.000339985
2023-02-10 11:28:28,389 0.000066996
2023-02-10 11:28:28,394 0.000054121
2023-02-10 11:28:28,398 0.000204802
2023-02-10 11:28:28,401 0.000174046
2023-02-10 11:28:28,406 0.000206947
2023-02-10 11:28:28,410 0.000185013
2023-02-10 11:28:28,413 0.000181913
2023-02-10 11:28:28,417 0.000032902
2023-02-10 11:28:28,421 0.000035048
2023-02-10 11:28:28,425 0.000031948
2023-02-10 11:28:28,429 0.000030994
2023-02-10 11:28:28,433 0.000032902
2023-02-10 11:28:28,437 0.000031948
2023-02-10 11:28:28,440 0.000024080
2023-02-10 11:28:28,449 0.000033140
2023-02-10 11:28:28,453 0.000029087
2023-02-10 11:28:28,457 0.000037193
2023-02-10 11:28:28,461 0.000029325
2023-02-10 11:28:28,465 0.000025034
2023-02-10 11:28:28,468 0.000022888
2023-02-10 11:28:28,473 0.000047684
2023-02-10 11:28:28,477 0.000029087
2023-02-10 11:28:28,480 0.000023842
2023-02-10 11:28:28,484 0.000026941
2023-02-10 11:28:28,488 0.000037670
2023-02-10 11:28:28,491 0.000025749
2023-02-10 11:28:28,494 0.000028849
2023-02-10 11:28:28,500 0.000040054
2023-02-10 11:28:28,508 0.000030994
2023-02-10 11:28:28,514 0.000041962
2023-02-10 11:28:28,519 0.000031948
2023-02-10 11:28:28,522 0.000027895
2023-02-10 11:28:28,527 0.000039816
2023-02-10 11:28:28,530 0.000030994
2023-02-10 11:28:28,533 0.000027895
2023-02-10 11:28:28,537 0.000025272
2023-02-10 11:28:28,541 0.000029802
2023-02-10 11:28:28,544 0.000023127
2023-02-10 11:28:28,547 0.000026226
2023-02-10 11:28:28,552 0.000044107
2023-02-10 11:28:28,561 0.000031948
2023-02-10 11:28:28,566 0.000044107
2023-02-10 11:28:28,570 0.000030041
2023-02-10 11:28:28,573 0.000030994
2023-02-10 11:28:28,577 0.000030994
2023-02-10 11:28:28,585 0.000029087
2023-02-10 11:28:28,588 0.000030041
2023-02-10 11:28:28,593 0.000040054
2023-02-10 11:28:28,597 0.000036955
2023-02-10 11:28:28,605 0.000030994
2023-02-10 11:28:28,610 0.000030994
2023-02-10 11:28:28,613 0.000024080
2023-02-10 11:28:28,617 0.000033140
2023-02-10 11:28:28,622 0.000028133
2023-02-10 11:28:28,625 0.000025988
2023-02-10 11:28:28,629 0.000036955
2023-02-10 11:28:28,634 0.000035048
2023-02-10 11:28:28,639 0.000028849
2023-02-10 11:28:28,642 0.000031948
2023-02-10 11:28:28,647 0.000040054
2023-02-10 11:28:28,651 0.000037193
2023-02-10 11:28:28,654 0.000025988
2023-02-10 11:28:28,658 0.000031948
2023-02-10 11:28:28,663 0.000037193
2023-02-10 11:28:28,666 0.000024796
2023-02-10 11:28:28,669 0.000028133
2023-02-10 11:28:28,674 0.000039816
2023-02-10 11:28:28,683 0.000024796
2023-02-10 11:28:28,688 0.000038147
2023-02-10 11:28:28,692 0.000024080
2023-02-10 11:28:28,695 0.000031948
2023-02-10 11:28:28,700 0.000045061
2023-02-10 11:28:28,704 0.000029802
2023-02-10 11:28:28,707 0.000032902
2023-02-10 11:28:28,711 0.000034809
2023-02-10 11:28:28,716 0.000031948
